horizon,symbol,model,trades,trade_direction_accuracy,avg_conf,avg_forecast_return,avg_actual_return,mae,mape_pct
16,GOLD_M30_6MONTHS_CLEAN,mini,11,0.45454545454545453,0.7759,0.02018827724252265,0.1631154972446006,34.50231622869318,0.7182314407787467
16,GOLD_M30_6MONTHS_CLEAN,small,16,0.5625,0.71343125,0.07465059322589035,-0.06053277272976971,30.65957130432132,0.6570483899439926
16,US30CASH_M30_6MONTHS_CLEAN,mini,12,0.5833333333333334,0.6958416666666666,-0.07855316979710665,0.034958659440006055,231.67572672526038,0.4840548784506082
16,US30CASH_M30_6MONTHS_CLEAN,small,10,0.9,0.76898,0.263773086719854,0.3386926743095309,205.77813964843727,0.4337242996637781
32,GOLD_M30_6MONTHS_CLEAN,mini,17,0.47058823529411764,0.8017941176470588,0.5317268112298758,-0.09858093419838043,42.570334472656256,0.8992435634828333
32,GOLD_M30_6MONTHS_CLEAN,small,20,0.65,0.7656449999999999,-0.23754572598645995,-0.19494880937978076,48.29951068115237,0.9933037270126638
32,US30CASH_M30_6MONTHS_CLEAN,mini,10,0.5,0.70367,-0.057743880288322336,-0.14857932195372797,279.1549584960938,0.5845943307807877
32,US30CASH_M30_6MONTHS_CLEAN,small,6,0.5,0.7735333333333333,-0.7431147163200924,-0.2307871435598278,334.63268554687494,0.6949353175508332
8,GOLD_M30_6MONTHS_CLEAN,mini,9,0.4444444444444444,0.6449777777777778,-0.1215551736022687,-0.11713791510530686,23.44463378906255,0.4654934967545388
8,GOLD_M30_6MONTHS_CLEAN,small,10,0.8,0.725,0.25103283651661257,-0.02938193462777352,17.435465087890655,0.3762184920543289
8,US30CASH_M30_6MONTHS_CLEAN,mini,12,0.6666666666666666,0.6722833333333332,-0.1144904028353738,-0.26380946127860333,141.3102457682293,0.2950328597981916
8,US30CASH_M30_6MONTHS_CLEAN,small,4,0.75,0.6435,0.037275190595320605,0.08805715667195291,130.70349121093705,0.2717275665952118
